,분기,행정동_코드_명,업종,연령대_10_매출_금액,연령대_20_매출_금액,연령대_10_매출_건수,연령대_20_매출_건수
5881,1,왕십리도선동,청과상,0,25448304,0,2367
5882,1,용답동,호프-간이주점,0,29957581,0,759
5883,1,행당2동,피부관리실,0,0,0,0
5884,1,광장동,한식음식점,12283352,195506011,874,8812
5885,1,광장동,커피-음료,3128993,128343263,438,11784
5886,1,광장동,일반의류,0,9110275,0,449
5887,1,광장동,중식음식점,1940314,39362543,154,1425
5888,1,구의1동,일식음식점,724275,104419443,57,2734
5889,1,구의1동,의료기기,0,0,0,0
5890,1,구의2동,일반의원,2883471,41138541,621,5146
5891,1,구의2동,신발,0,0,0,0
5892,1,구의2동,예술학원,0,0,0,0
5893,1,구의3동,핸드폰,71657541,642130405,1408,13797
5894,1,구의3동,조명용품,331442,9639131,33,464
5895,1,군자동,화장품,7284118,339324973,450,18560
5896,1,군자동,노래방,1427296,33242282,387,5687
5897,1,능동,치킨전문점,3654643,61461240,98,2081
5898,1,군자동,의약품,2836769,230576369,401,25628
5899,1,군자동,일반교습학원,0,0,0,0
5900,1,군자동,여관,2908107,14255636,70,332
5901,1,자양1동,신발,0,41945,0,8
5902,1,자양2동,자동차수리,0,14708607,0,23
5903,1,자양2동,가구,0,2895501,0,14
5904,1,자양3동,커피-음료,16619410,531785441,2936,68470
5905,1,자양4동,세탁소,9854360,23579690,669,1799
5906,1,자양4동,슈퍼마켓,2621409,163247691,406,16496
5907,1,자양4동,일반의원,3393260,395900005,201,6637
5908,1,자양4동,한의원,0,74323588,0,1805
5909,1,자양4동,PC방,1001287,61316846,344,11020
5910,1,자양4동,제과점,14772644,162297065,1123,15212
5911,1,중곡1동,편의점,18059183,685581590,4680,99079
5912,1,중곡1동,제과점,0,9967627,0,1089
5913,1,중곡1동,반찬가게,0,39126968,0,2712
5914,1,중곡1동,일반의류,0,2024427,0,149
5915,1,중곡1동,화초,0,286613,0,14
5916,1,중곡2동,미곡판매,0,0,0,0
5917,1,중곡3동,핸드폰,6263693,15032864,626,1252
5918,1,중곡2동,슈퍼마켓,9591255,523917510,1546,54047
5919,1,중곡2동,노래방,0,11409200,0,234
5920,1,중곡2동,철물점,0,2252926,0,453
5921,1,중곡3동,네일숍,0,5245780,0,106
5922,1,중곡4동,편의점,26635074,480421806,7726,75343
5923,1,중곡4동,컴퓨터및주변장치판매,0,0,0,0
5924,1,중곡4동,자동차수리,0,11810094,0,20
5925,1,화양동,안경,4143021,68012320,205,2325
5926,1,화양동,피부관리실,0,30904191,0,595
5927,1,화양동,슈퍼마켓,2252177,186630115,383,29325
5928,1,화양동,운동/경기용품,0,0,0,0
5929,1,화양동,미곡판매,0,1920561,0,183
5930,1,답십리1동,제과점,1050552,28243723,198,4086
5931,1,답십리1동,자동차수리,0,22848228,0,74
5932,1,답십리2동,육류판매,197113,46534765,21,1288
5933,1,답십리2동,반찬가게,0,1903234,0,100
5934,1,용신동,한식음식점,17846691,1447532954,1130,51627
5935,1,용신동,자동차수리,0,11253833,0,64
5936,1,용신동,노래방,0,5963869,0,207
5937,1,이문1동,의약품,2682437,229449182,545,24553
5938,1,용신동,육류판매,313029,73608859,35,3322
5939,1,용신동,철물점,0,167504,0,28
5940,1,용신동,치과의원,83529,116313615,10,1024
5941,1,이문1동,육류판매,0,82592380,0,9096
5942,1,이문2동,제과점,3390535,62940616,334,6401
5943,1,이문2동,슈퍼마켓,4905361,55305959,1040,9630
5944,1,이문2동,청과상,0,2883332,0,249
5945,1,장안1동,자동차수리,0,80401906,0,275
5946,1,장안1동,제과점,3506722,91986114,487,14033
5947,1,장안2동,고시원,0,10361143,0,276
5948,1,전농1동,자동차수리,0,46872939,0,348
5949,1,전농1동,분식전문점,23766458,353226531,3382,23391
5950,1,전농1동,슈퍼마켓,1087735,82965953,337,10014
5951,1,전농1동,반찬가게,0,0,0,0
5952,1,전농2동,치과의원,489820,10707573,10,314
5953,1,전농2동,분식전문점,2754257,21848098,345,2749
5954,1,제기동,자동차수리,0,4679273,0,56
5955,1,청량리동,화장품,0,1882751,0,86
5956,1,잠실본동,전자상거래업,0,0,0,0
5957,1,노량진2동,피부관리실,0,0,0,0
5958,1,청량리동,예술학원,0,0,0,0
5959,1,청량리동,안경,0,4366096,0,68
5960,1,청량리동,신발,0,0,0,12
5961,1,청량리동,시계및귀금속,0,311431,0,32
5962,1,청량리동,네일숍,0,1432408,0,30
5963,1,청량리동,조명용품,0,0,0,0
5964,1,회기동,치과의원,58736,54942586,9,1032
5965,1,회기동,편의점,27282711,1007360233,6582,190109
5966,1,회기동,철물점,4562418,14043874,566,2053
5967,1,회기동,PC방,2626525,58209230,770,12363
5968,1,휘경1동,노래방,352469,7673838,17,356
5969,1,휘경1동,당구장,45101,3831797,5,271
5970,1,휘경1동,네일숍,144708,1584549,7,72
5971,1,휘경2동,일반교습학원,0,0,0,0
5972,1,망우3동,핸드폰,0,427807,0,107
5973,1,망우3동,자동차수리,0,3069753,0,37
5974,1,망우3동,가구,0,7783391,0,17
5975,1,망우본동,신발,372290,505375,10,15
5976,1,면목2동,커피-음료,1704162,47087311,284,6637
5977,1,면목2동,호프-간이주점,0,4759725,0,116
